"","AGEP","Major","Major_Category","BSc","Wages.mn","Wages.md","Wages.sd","Wages.n","Earnings.mn","Earnings.md","Earnings.sd","Earnings.n"
"51",26,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,27177.05375,21529.87375,27888.2846334569,6,49194.3329166667,45883.3375,27372.779789287,6
"52",27,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,36555.40625,42858.0625,27731.6875,4,54707.05625,57984.4375,17819.4718271939,4
"53",28,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,57480.225,65547.625,36983.2221276165,5,139162.65,70589.75,151624.671704442,5
"54",29,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,0,0,NA,1,50421.25,50421.25,NA,1
"55",30,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,22521.4916666667,33278.025,19510.7001518131,3,46522.0066666667,34286.45,39563.8598870691,3
"56",31,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,67312.36875,76640.3,25556.1636363208,4,67312.36875,76640.3,25556.1636363208,4
"57",32,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,171768.391666667,151263.75,112837.004794904,3,171768.391666667,151263.75,112837.004794904,3
"58",33,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,62270.24375,79161.3625,40879.8771675183,8,106766.996875,79161.3625,120939.473725604,8
"59",34,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,59597.9175,58488.65,23413.0573528086,5,60404.6575,58488.65,24988.8040560724,5
"60",35,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,83195.0625,83195.0625,24957.2454536315,2,83195.0625,83195.0625,24957.2454536315,2
"61",36,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,54118.8083333333,52438.1,15698.2117125314,3,55429.7608333333,52438.1,13907.6151892219,3
"62",37,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,81682.425,69581.325,35187.4663697313,10,87720.8739,82479.08075,36108.9019661418,10
"63",38,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,31765.3875,20672.7125,40908.5927458834,4,124540.4875,63530.775,139803.012392267,4
"64",39,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,83195.0625,65547.625,84921.5203639943,4,95800.375,65547.625,71068.3300570948,4
"65",40,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,11798.5725,1512.6375,19441.9527953936,5,49009.455,45379.125,42235.7355942555,5
"66",41,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,106287.995,50421.25,123702.964929095,5,110523.38,50421.25,121494.49827077,5
"67",42,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,81850.4958333333,85716.125,66343.0741748911,6,94707.9145833333,86472.44375,53578.0450913971,6
"68",43,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,79809.6357142857,60505.5,58149.8713240531,7,78873.2410714286,60505.5,59681.8491274107,7
"69",44,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,101962.972222222,65547.625,104125.001926307,9,101962.972222222,65547.625,104125.001926307,9
"70",45,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,97439.065625,68068.6875,126880.702277948,8,106640.94375,68068.6875,137420.669922123,8
"71",46,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,84926.1920833333,51429.675,78028.981344567,12,95850.79625,65547.625,74137.894444398,12
"72",47,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,88080.3213888889,71598.175,59998.0484004323,9,87217.5577777778,64337.515,60355.2565544269,9
"73",48,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,69133.1361111111,60505.5,51931.7117802073,9,67822.1836111111,60505.5,52455.6259972229,9
"74",49,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,76325.1671875,70589.75,49023.3119682902,16,85779.1515625,81682.425,40199.7361994635,16
"75",50,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,77184.8495,39832.7875,129536.038699948,10,98563.4595,66556.05,120036.0357331,10
"76",51,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,77328.4017647059,60505.5,52567.2936014966,17,97793.4973529412,77648.725,56423.4686632268,17
"77",52,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,67486.9038461538,65547.625,55457.9682621084,13,70512.1788461539,65547.625,52706.4262694608,13
"78",53,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,135182.732666667,100842.5,137569.752384409,15,135794.5105,100842.5,137029.261509649,15
"79",54,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,74999.3175,58488.65,61602.9011216488,11,83066.7175,60505.5,53273.2152274925,11
"80",55,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,80001.7166666667,24202.2,121560.185790669,9,102971.397222222,68572.9,107656.683059637,9
"81",56,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,48538.8566666667,36303.3,51638.0936489828,15,124574.101666667,69581.325,118419.490281243,15
